X=-6.107 Y=-52.140 Z=229.478,X=0.000 Y=0.866 Z=0.496,X=0.687 Y=1.851,(R=255,G=255,B=255,A=255)
X=-0.000 Y=-52.240 Z=229.651,X=0.000 Y=0.866 Z=0.496,X=0.676 Y=1.851,(R=255,G=255,B=255,A=255)
X=-0.000 Y=-54.498 Z=233.563,X=0.000 Y=0.969 Z=-0.252,X=0.676 Y=1.851,(R=255,G=255,B=255,A=255)
X=-6.402 Y=-54.394 Z=233.381,X=0.047 Y=0.969 Z=-0.252,X=0.687 Y=1.851,(R=255,G=255,B=255,A=255)
X=0.000 Y=43.386 Z=64.022,X=0.000 Y=0.268 Z=0.961,X=0.676 Y=1.851,(R=255,G=255,B=255,A=255)
X=6.402 Y=43.281 Z=64.203,X=-0.047 Y=0.268 Z=0.961,X=0.687 Y=1.851,(R=255,G=255,B=255,A=255)
X=6.107 Y=41.028 Z=68.106,X=0.000 Y=0.866 Z=0.504,X=0.687 Y=1.851,(R=255,G=255,B=255,A=255)
X=0.000 Y=41.128 Z=67.933,X=0.000 Y=0.866 Z=0.496,X=0.676 Y=1.851,(R=255,G=255,B=255,A=255)
X=-45.951 Y=45.684 Z=2.827,X=0.827 Y=0.512 Z=-0.228,X=1.996 Y=0.449,(R=255,G=255,B=255,A=255)
X=-45.919 Y=45.717 Z=11.173,X=0.803 Y=0.535 Z=0.260,X=1.996 Y=0.501,(R=255,G=255,B=255,A=255)
X=-46.198 Y=46.099 Z=10.707,X=0.724 Y=0.685 Z=0.087,X=2.000 Y=0.501,(R=255,G=255,B=255,A=255)
X=-46.230 Y=46.068 Z=3.293,X=0.748 Y=0.661 Z=-0.063,X=2.000 Y=0.449,(R=255,G=255,B=255,A=255)
X=-46.749 Y=46.545 Z=10.830,X=0.654 Y=0.717 Z=0.252,X=1.996 Y=0.511,(R=255,G=255,B=255,A=255)
X=-46.700 Y=46.598 Z=10.172,X=0.693 Y=0.717 Z=0.047,X=2.000 Y=0.511,(R=255,G=255,B=255,A=255)
X=-69.376 Y=69.173 Z=10.830,X=0.693 Y=0.677 Z=0.252,X=1.996 Y=0.668,(R=255,G=255,B=255,A=255)
X=-69.327 Y=69.226 Z=10.172,X=0.717 Y=0.701 Z=0.055,X=2.000 Y=0.668,(R=255,G=255,B=255,A=255)
X=-70.789 Y=70.655 Z=10.832,X=0.701 Y=0.669 Z=0.244,X=1.996 Y=0.677,(R=255,G=255,B=255,A=255)
X=-70.767 Y=70.734 Z=10.175,X=0.717 Y=0.693 Z=0.047,X=2.000 Y=0.677,(R=255,G=255,B=255,A=255)
X=-71.901 Y=71.767 Z=11.019,X=0.724 Y=0.646 Z=0.236,X=1.996 Y=0.683,(R=255,G=255,B=255,A=255)
X=-71.958 Y=71.926 Z=10.378,X=0.717 Y=0.701 Z=0.047,X=2.000 Y=0.683,(R=255,G=255,B=255,A=255)
X=-72.970 Y=72.836 Z=11.559,X=0.764 Y=0.614 Z=0.220,X=1.996 Y=0.689,(R=255,G=255,B=255,A=255)
X=-73.125 Y=73.094 Z=10.968,X=0.724 Y=0.693 Z=0.047,X=2.000 Y=0.689,(R=255,G=255,B=255,A=255)
X=-73.911 Y=73.778 Z=12.406,X=0.795 Y=0.575 Z=0.189,X=1.996 Y=0.695,(R=255,G=255,B=255,A=255)
